French,English/Yoruba
étaient,were/j?
perdu,lost/ti s?nu
sois,be/j?
genre,gender/?kunrin
aimerais,would like to/yoo f? lati
attendez,wait/duro
enfant,child/?m?
chambre,bedroom/ibusun
côté,side/?gb?
venu,came/wa
loin,far/jinna
laisser,let/j?
donner,give/fun
savais,knew/m?
compte,account/ak??l?
parlé,speak/s?r?
regardez,look/wo
train,train/k?k?
première,first/akoko
pouvoir,to be able to/lati ni anfani lati
donné,given/fun
mari,husband/baa
écoute,listen/gbo
enfin,finally/l'akotan
devrait,should/y?
mis,put/fisi
film,movie/fiimu
aucune,any/eyikeyi
fort,strong/lagbara
façon,way/?na
pays,country/oril?-ede
prêt,ready/gbaradi
femmes,women/Obinrin
affaire,affair/?ran
pourrais,could/Le
espère,hope/ireti
parti,left/osi
h,h/tani H
endroit,place/ibi
fou,mad/ya were
corps,body/ara
hier,yesterday/ana
dont,of which/ti
désolée,sorry/binu
grande,big/titobi
cause,cause/idi
près,close/sunm?
pensais,thought/ero
chef,chief/oloye
dirait,would say/yoo s?
bébé,baby/?m?
celui,that's why I wrote to you/Ti o ni idi ti Mo k?we si ?
possible,possible/?ee?e
mains,hands/?w?
quatre,four/m?rin
plein,full/kun
semaine,week/?s?
dites,say/s?
tour,tower/ile-i??
école,school/ile-iwe
manger,eat/j?un
vue,seen/ti rii
arrêter,Stop/Duro
instant,moment/lakoko
affaires,business/i?owo
arriver,arrive/de
font,make/?e
c,vs/vs
presque,almost/f??r?
tomber,fall/?ubu
journée,daytime/?j? ?san
voulait,wanted to/f? lati
bureau,office/?fiisi
confiance,trust/igb?k?le
garde,keep/t?ju
serai,will be/yio je
dur,hard/lile
á,has/ni
o,o/o
voyez,see/wo
cours,Classes/Aw?n kilasi
route,road/?na
prend,take/mu
cul,ass/k?t?k?t?
abord,on board/wa ninu ?k?
important,important/pataki
mot,word/?r?
devez,must/gb?d?
minute,minute/i??ju
ferme,closed/ti paade
chien,dog/aja
jeu,Game/ere idaraya
seigneur,lord/oluwa
messieurs,gentlemen/Arakunrin
calme,calm/farabal?
voudrais,would like/yoo f?
heureux,happy/idunnu
prenez,take/gba
mariage,wedding/igbeyawo
voit,sees/wo
parents,parents/aw?n obi
lls,lls/lls
dedans,inside/ninu
entrer,to enter/wole
lit,bed/ibusun
fous,crazy/a?iwere
mlle,Ms/Ms
rentrer,to return/lati pada
ait,has/ni
musique,music/orin
service,service/i??
reviens,come back/pada wa
drôle,funny/apanil?rin
attend,waits/duro
parfois,sometimes/nigbamiiran
téléphone,phone/foonu
retour,return/pada
ira,will go/maa lo
e,e/e
verre,glass/gilasi
général,general/gbogboogbo
new,new/ti tun
six,six/??fa
pensé,thought/ero
l,I/Emi
fête,party/?gb?
coeur,heart/okan
aimes,love/nif?
ci,this/eyi
ferai,will do/ma a se
président,President/Aare
doute,doubt/i?eyemeji
facile,easy/r?run
entends,hear/gb?
appelé,called/ti pe
prison,jail/?w?n
john,john/john
sors,go outside/l? ni ita
vaut,worth/it?si
mauvais,Wrong/A?i?e
oublié,forget it/gbagbe
i,I/Emi
faute,mistake/a?i?e
penser,think/ronu
changer,change/yipada
commence,begin/beere
entendre,To hear/Lati gb?
ies,ies/ies
roi,King/?ba
partout,all over/gbogbo ibi
joue,cheek/?r?k?
cher,dear/oluf?
rendre,render/iba?e
travailler,to work/lati ?i??
malade,sick/?aar?
sinon,otherwise/bib??k?
génial,great/nla
regarder,watch/wo
travaille,work/i??
voulu,desired/f?
cherche,look for/wa fun
sécurité,security/aabo
dès,of the/ti
année,year/?dun
dix,ten/m?wa
bois,drink/oun mimu
mets,put/fisi
jack,jack/ab?
tôt,early/kutukutu
surtout,Above all/Ju gbogbo re lo
arme,armed/ti ologun
t,t/t
avis,opinion/ipinnu
semble,seems/dabi ?ni
penses,thinking/lerongba
livre,book/iwe
dormir,sleep/sun
difficile,difficult/?oro
retard,delay/idaduro
sujet,topic/ak?le
appris,learned/k?k?
maître,master/?ga
morte,dead/ti ku
noir,black/dudu
choix,choice/yiyan
sale,dirty/id?ti
étiez,have been/ti wa
an,year/?dun
ordre,order/pa??
souvent,often/nigbagbogbo
peuvent,can/agolo
visage,face/oju
bout,end/ipari
sérieux,serious/?e pataki
photo,Photo/aworan
rue,street/opopona
tirer,to pull/lati fa
comprendre,understand/oye
semaines,weeks/?s?
marché,market/?ja
honneur,honor/ibuyi
ciel,sky/ofurufu
garder,to keep/lati toju
gauche,left/osi
nouvelles,new/tuntun
avion,plane/?k? ofurufu
con,stupid/omug?
force,strength/agbara
devoir,Homework/I?? a?elele
prix,price/idiyele
propos,about/nipa
bateau,ship/?k? oju-omi
bouge,move/gbe
voix,voice/ohun
rouge,red/pupa
restez,Stay/Duro
pouvais,could/Le
personnes,people/eniyan
ferais,would do/yoo ?e
gueule,mouth/?nu
acheter,buy/ra
continue,keep on going/t?siwaju lori lil?
long,long/gigun
voyage,trip/irin-ajo
bienvenue,welcome/kaab?
idiot,idiot/omug? obinrin
certains,some/di? ninu
hôpital,hospital/ile iwosan
promis,promised/?e ileri
devenir,to become/lati di
grâce,grace/oore-?f?
sûre,safe/lailewu
problèmes,problems/aw?n i?oro
armes,weapons/ohun ija
trucs,stuff/nkan elo
allais,alla/Alla
occupe,to keep busy/lati t?ju l?w?
devait,had to/ni lati
manque,lack/aini
thé,tea/tii
avaient,had/ní
cheveux,hair/irun
salle,Hall/Gb?gan
gagner,to earn/lati jo'gun
erreur,error/a?i?e
cru,believed/gbagb?
pars,go/l?
croyez,believe/gbagb?
sac,bag/apo
oncle,uncle/arakunrin baba
pièce,room/iy?wu
fond,background/agbet?l?
patron,boss/?ga ?kunrin
rapport,report/ijab?
apprendre,learn/k? ?k?
sauver,save/fipam?
seconde,second/ikeji
pensez,think/ronu
ailleurs,elsewhere/ibomiiran
agent,agent/a?oju obinrin
jolie,pretty one/l?wa ?kan
revenir,to come back/lati pada wa
scène,stage/ori
n,not/kii ?e
devons,owe/j? gbese
groupe,band/?gb?
carte,menu/m?nu
aurai,will have/yoo ni
effet,effect/ipa
neuf,nine/??san
fallait,had to/ni lati
monte,mounted/ageku
noël,Xmas/Xmas
venue,come/wa
tire,drawn/fa
droite,right/tit?
seront,will be/yio je
bordel,mess/fi iyin
lumière,light/im?l?
incroyable,unbelievable/aigbagb?
connaît,know/m?
colonel,colonel/?gagun
cheval,horse/??in
écoutez,Listen/T?tisi
joe,joe/Joe
entrez,Come in/Wo ile
coin,corner/igun
auras,auras/aras
fric,money/owo
loi,law/ofin
absolument,absolutely/patapata
cool,cool/dara
magnifique,magnificent/?l?wa
dos,back/?hin
occuper,to occupy/lati gba
présent,here/Nibi
retrouver,to regain/lati tun
réussi,successful/a?ey?ri
frank,Frank/Flank
aviez,had/ní
meilleure,best/dara jul?
doucement,gently/koke
table,table/tabili
lettre,letter/l?ta
rappelle,remember/?eranti
sam,sat/joko
commencer,to start/lati b?r?
agit,act/i?e
sœur,sister/arabinrin
pareil,the same/ikan na
finir,finish/pari
touche,touch/f?w?kan
ignore,ignore/paati
meurtre,murder/paniyan
tranquille,calm/farabal?
bord,edge/eti
tom,Tom/?w?n
parlez,speak/s?r?
fasse,do/?e
complètement,completely/patapata
clair,clear/ko kuro
mauvaise,bad/buburu
lire,read/ka
ferait,would do/yoo ?e
vraie,real/gan an
sept,seven/meje
tombe,fall/?ubu
silence,silence/ipal?l?
sortez,get out/jade
connaître,to know/lati m?
cadeau,present/l?w?l?w?
flics,cops/aw?n olopa
mer,sea/odo
médecin,doctor/dokita obinrin
exact,exact/gan an
moitié,half/idaji
surprise,surprise/iyal?nu
avocat,attorney/a?oju ?kunrin
montre,show/fihan
b,B/B
su,su/su
porter,carry/gbe
télé,TV/Tv
vivant,living/iji
jure,sworn/bura
disent,say/s?
mr,MR/Kun M
devriez,should/y?
aimé,like/f?ran
diable,Devil/Bi?li?si?
ligne,line/ila
mission,assignment/yan fun
suppose,Assumed/Gbero
pote,pal/pal
expliquer,explain/?alaye
monter,ascend/goke
balle,ball/b??lu
photos,Pictures/Aw?n aworan
prête,ready/gbaradi
anglais,English/G??si
sorti,got out/Jáde
k,k/k
bons,good/dara
disparu,gone/l?
tenir,hold/dimu
quitter,leave/fi ibikan sil?
paul,Paul/Paulu
aimer,to like/lati f?ran
voie,way/?na
classe,class/kilasi
huit,eight/?j?
poste,post/ipo
impression,impression/t?jum?
folle,crazy woman/obinrin irikuri
michael,Michael/Michael
bravo,well done/kú isé
amérique,America/Am?rika
suivre,to follow/lati t?le
aille,wing/iy? apa ?y?
oublier,forget/gbagbe
peuple,people/eniyan
honte,shame/itiju
connard,asshole/Iwoomusu
retourner,to return to/lati pada si
chanson,song/orin
arrêté,stopped/duro
enfer,hell/?run-apaadi
écrire,to write/lati k?
lieutenant,lieutenant/?gagun
radio,radio/redio
tenez,hold/dimu
bande,bandaged/ti w?
bob,bob/?ran boun
rend,renders/isire
connu,known/m?
secours,rescue/gba eniyan sil?
vit,lives/igbesi aye
imagine,conceived/loyun
boîte,box/apoti
joué,cheek/?r?k?
triste,sad/banuj?
tel,Phone/Foonu
ressemble,looks like/dabi
coucher,sleep/sun
sortie,exit/Jade
bouche,blocked/dina
certain,certain/daju
visite,visit/?ab?wo
bête,stupid/omug?
retourne,return/pada
approche,approach/sunm?
pourtant,yet/sib?sib?
plusieurs,many/?p?l?p?
sergent,sergeant/saj?nti
système,system/eto
présente,present/l?w?l?w?
faudra,will have to/yoo ni lati
écouter,listen/t?tisi
exemple,example/ap??r?
coups,strokes/aw?n ik?lu
pourra,may/le
sympa,nice/dara
cuisine,food/ounj?
grands,tidy/it?ju
étrange,odd/odd
danger,hazard/ewu
gouvernement,government/ij?ba
danser,to dance/lati jo
lune,moon/o?upa
etre,to be=/lati wa ni =
normal,normal/deedee
santé,health/ilera
ouvrir,open/?ii
nez,nose/imu
secondes,seconds/aaya
amoureux,lover/oluf?
dommage,shame/itiju
pleine,full/kun
mille,thousand/?gb?run
banque,bank/ile-ifowopam?
voler,fly/fo
clé,key/k?k?r?
bonnes,good/dara
servir,to serve/lati sin
journal,log/iti
village,town/ilu
tient,is holding/ti di mu
flic,cop/didak?
salaud,bastard/?m? ale
tiré,drawn/fa
cour,court/ile-?j?
bruit,noise/ariwo
terrible,terrible/bibanil?ru
inspecteur,inspector/olub?wo obinrin
robe,dress/tun?e
bière,beer/Oti bia
tas,pile/akoj?
viennent,are coming/n b?
seuls,only/nikan
préfère,favorite/aayan
dingue,crazy/a?iwere
vent,wind/af?f?
pitié,pity/ikaanu
croit,believes/gbagb?
travers,through/nipas?
club,club/b??lu
garçons,boys/?m?kunrin
conseil,advice/im?ran
sol,floor/il?-il?
bonheur,happiness/idunnu
rêves,dreams/aw?n ala
centre,center/aarin
thé,tea/tii
mike,mike/man
stupide,stupid/omug?
pouvons,can/agolo
vin,wine/waini
fiche,plug/pul??gi
milieu,environment/agbegbe
unis,United/Ti s?d?kan
appelez,call/pe
départ,departure/il? kuro
liste,list/atoj?
gamin,kid/?m?
johnny,johnny/iran jona
différent,different/yat?
verra,will see/yoo ri
probablement,probably/boya
parole,word/?r?
ennemi,enemy/?ta
recherche,research/iwadii
société,society/awuj?
faisais,do/?e
peter,to fart/lati fart
chère,Dear/Oluf?
tourne,turned/yipada
ià,ià/IT
descendre,go down/l? sil?
pose,laid/ti gbe
position,position/ipo
oeil,eye/oju
spectacle,show/fihan
laquelle,which/ewo
rôle,role/ipa
utiliser,use/lo
match,match/baramu
devient,bECOMES/di
quitté,quits/k?
environ,around/ni ayika
plait,beating/lilu
mur,wall/ogiri
blessé,hurt/i?ele?e
mise,putting/s?
you,you/iw?
beauté,beauty/?wa
parie,bett/beret
soldats,soldiers/aw?n ?m? ogun
films,movies/fiimu
américain,American/Ara ilu Am?rika
entrée,Starter/Alak?b?r?
soldat,soldier/jagunjagun
sauter,to jump/lati fo
londres,London/L?nna
lequel,which/ewo
lâche,cowardly/ma?e
église,church/ile-ij?sin
tort,wrong/a?i?e
cerveau,brain/?p?l?
coupable,guilty/j?bi
petites,small/kekere
adresse,address/is?r?si
conduire,drive/wa
justice,justice/onidaj?
venus,Venus/Ohun-ini
adieu,goodbye/O dab?
présenter,to present/lati mu
tombé,fall/?ubu
épouser,marry/f?
frères,brothers/aw?n arakunrin
pourriez,could/Le
ouvrez,open/?ii
nature,nature/ayanm?
gosse,kid/?m?
preuve,proof/?ri
riche,rich/?l?r?
faudrait,should/y?
base,base/il?
fleurs,flowers/aw?n ododo
vide,empty/?'ofo
mademoiselle,miss/padanu
nul,no/k?
histoires,stories/itan
marié,married/ti gbeyawo
défense,defense/aabo
répondre,reply/fesi
responsable,responsible/?eduro fun
deuxième,second/ikeji
mary,mary/Màríà
appartement,apartment/iy?wu
décision,decision/ipinnu
cinéma,movie theater/fiimu fiimu
jeter,discard/daru
dents,teeth/ehin
vacances,holidays/Aw?n isinmi
ravi,very pleased/dun si pup?
tueur,killer/apaniyan
courage,courage/igboya
jésus,Jesus/JESI
allée,aisle/aye
capable,able/anfani
sauvé,Safe/Lailewu
continuez,continue/t?siwaju
paie,pay/sanwo
superbe,stunning/yanilenu
jambes,legs/esè
coupe,chopped off/pa a
immédiatement,immediately/l?s?k?s?
épouse,spouse/laya ?kunrin
telle,such/nkan b??
marie,married/ti gbeyawo
pius,pius/piulu
bombe,bomb/bu gbamu
types,types/ori?i
p,p/p
né,born/bibi
manière,manner/i?ewahu
gagne,won/bori
prévu,planned/gbero
u,U/U
idées,ideas/aw?n im?ran
touché,hit/lu
rendu,rendering/satun?e
monstre,freak/àmi
km,km/km
importance,importance/pataki
joie,joy/ay?
dérange,disturbs/dil?w?
arrivent,arrive/de
pont,bridge/afara
bain,bath/iw?
oubliez,forget/gbagbe
contente,satisfied/itelorun
attendais,expected/nireti
signifie,means/tum? si
américains,American/Ara ilu Am?rika
iis,iis/iis
quitte,quits/k?
poisson,fish/?ja
ayez,have/ni
terrain,ground/il?
horrible,horrible/buruju
chat,cat/ologbo
certaines,some/di? ninu
r,R/R
camion,truck/?k? ak?ru
joyeux,joyful/alay?
shérif,sheriff/sheriff
and,and/ati
dossier,case/?ran
respect,respect/ib?w?
blanche,white/funfun
rencontre,meet/pade
refuse,denied/k?
charge,charge/idiyele
chiens,dogs/aja
dure,lasts/o to
zone,area/agbegbe
animaux,animals/?ranko
meilleurs,best/dara jul?
étions,were/j?
langue,tongue/ah?n
mangé,eat/j?un
douleur,pain/irora
planète,planet/is?gbe
offrir,to offer/lati funni
règles,rules/aw?n ofin
drogue,dope/muna
réalité,reality/otit?
bus,bus/?k? akero
enfoiré,Motherfucker/Iya
dirais,would say/yoo s?
permis,permit/igbalaaye
vécu,lived/gbe
île,Isle/Iga
réunion,meeting/ipade
contraire,opposite/idakeji
mettez,put/fisi
nick,nick/nick
rapide,quick/kiakia
raconte,recount/gba
papier,paper/iwe
discuter,discuss/jiroro
opération,surgery/i?? ab?
cartes,cards/aw?n kaadi
nourriture,food/ounj?
entier,entire/gbogboogbo
toilettes,bathroom/baluw?
spécial,special/pataki
vaisseau,vessel/?k? oju omi
princesse,princess/?m? alade
magasin,warehouse/iko ?ja
sache,beam/eto
bu,drank/mu
découvert,discovered/se awari
pain,bread/bur?di
mignon,cute/wuyi
rends,renders/isire
viendra,will come/yoo wa
imbécile,imbecile/imbecile
essaye,try/igbiyanju
champ,field/papa
personnel,personal/ti ara ?ni
lait,milk/wara
contrat,contract/iwe adehun
partis,gone/l?
mienne,mine/temi
mémoire,memory/iranti
destin,fate/ipin
pleurer,cry/kigbe
couteau,knife/?b?
malin,clever/jafafa
remettre,to put back/lati gbe pada
témoin,witness/?l?ri
restes,remains/toku
mètres,meters/igun
gosses,kids/aw?n ?m? w?w?
aiment,like/f?ran
habite,reside/gbe
foi,faith/igbagb?
puisque,because/nitori
apporté,brought/mu wa
trouvez,Find/Wa
nouveaux,new/tuntun
choisir,Choose/Yan
remercie,thanks/idup?
détruire,destroy/pa run run
université,university/yunifasiti
beaux,beautiful/?l?wa
vitesse,speed/iyara
procès,court case/?j? Ile-?j?
niveau,level/ipele
vus,sees/wo
Alex,Alex/Oji??
failli,falling/ja bo
arbre,tree/igi
papiers,papers/aw?n iwe
mérite,deserved/y? fun
différence,difference/iyato
travaillé,work/i??
disons,let's say/j? ki a s?
aimait,loved/f?ran
caméra,camera/kam?ra
piste,track/orin
sourire,to smile/lati r?rin mus?
accepter,accept/gba
retrouvé,found/ri
charles,Charles/Fi agbara
angleterre,England/Ede G??si
préparer,prepare/gbaradi
marre,fed up/ifunni
forces,strengths/aw?n agbara
énorme,huge/titobi
Danny,Danny/Buru
trés,very/pup?
rentré,go home/l? si ile
officier,officer/O?i??
file,line/ila
programme,program/eto
tommy,Tommy/Tommy
arrêt,stop/Duro
fout,cum/ik?
regrette,regret/kabam?
victime,victim/?niti n jiya ipalara
appartient,belongs/j?
france,France/Faranse
unique,unique/ail?gb?
régler,adjust/tun?e
moindre,lesser/dinku
compter,count/ka
voitures,cars/aw?n ?k? ay?k?l?
énergie,energy/agbara
crise,crisis/wahala
image,image/aworan
dimanche,Sunday/?j? Sundee
richard,richard/buburu
noms,nouns/aw?n oruk?
cassé,broken/fif?
enlever,to remove/lati y? kuro
clés,keys/aw?n b?tini
noire,black/dudu
man,man/?kunrin
dépend,depends/gbarale
réponds,answer/idahun
honnête,honest/ooto
prouver,prove/fihan
souris,mouse/mausu
entendez,hear/gb?
oiseau,bird/eye
belles,beautiful/?l?wa
apporte,brought/mu wa
grandes,large/nla
morceau,piece/nkan
bobby,bobby/bbby
amène,bring/mu wa
quelles,what/kini
cou,neck/?run
étage,stage/ori
bouger,to move/lati gbe
urgence,emergency/ohun ojiji
perds,losers/olopo
meurt,dies/ku
partons,Let's go/Jeka lo
troisième,third/ik?ta
savons,soaps/???
obtenir,get/gba
toit,roof/orule
humains,humans/etan
jardin,garden/?gba ajara
poche,poached/ti it?s?na
méchant,mean/arop?
paradis,heaven/?run
proche,close/sunm?
rejoindre,rejoin/atundara
lors,during/jakejado
crains,fearful/b?ru
règle,rule/dari
frapper,hit/lu
intention,intention/ero
succès,hit/lu
campagne,campaign/ipolongo
raisons,reasons/aw?n idi
alcool,alcohol/?ti
regardé,look at/wo
lee,lee/leese
théâtre,theater/ile ise
vôtre,your/r?
samedi,Saturday/Satidee
pluie,rain/ojo
relation,relationship/ibatan
frappé,hit/lu
maladie,disease/aisan
raté,missed/padanu
dessous,under/lab?
victoire,victoire/vicounfa
voudrait,would like/yoo f?
remarqué,noticed/?e akiyesi
pleure,cry/kigbe
gare,station/ibudo
carrière,career/i?? ?ni
sentiments,feelings/ikunsinu
suivi,follow up/ran leti
vies,lives/igbesi aye
fiston,son/?m?kunrin
vendu,sold/w?
amoureuse,in love/Ninu if?
mens,mens/Aw?n ?kunrin
falloir,to need/lati nilo
chinois,Chinese/Arabara
étranger,foreigner/ajeji ?kunrin
assure,insure/idaabobo
queue,tail/iru
odeur,smell/orun
enlève,remove/y?kuro
produit,product/?ja
meurs,die/ku
secrets,secrets/aw?n a?iri
aies,aies/aw?n ibatan
plage,beach/eti okun
animal,animal/?ranko
frappe,hit/lu
montagne,mountain/okegiga
coffre,chest/aya
passage,passage/?na
suivant,following/at?le
signal,signal/ifihan
discours,speech/?r?
claire,clear/ko kuro
g,g/g
costume,suit/kootu
souhaite,wish/if?
hasard,chance/aye
journaux,newspapers/iwe iroyin
aveugle,blind/afoju
lis,read/ka
retraite,retirement/if?yinti
afin,to/si
vendredi,Friday/?j? Jim?
auraient,would have/yoo ni
obligé,obligatory/dandan
major,major/ak?k?
neige,snow/yinyin
remercier,thank/o ?eun
fusil,gun/ibon
faible,low/l? sil?
pauvres,poor/talaka
cesse,stop/Duro
parfaitement,perfectly/ni pipe
excuses,apologies/idariji
viande,meat/Eran
ministre,minister/oji?? ?l?run
vienne,Vienna/Vienna
gaffe,blunder/ijakadi
cache,hidden/farapam?
décider,decide/pinnu
dort,sleep/sun
jake,jake/egbe
vidéo,video/fidio
vive,long -lived/ti p?
anna,Anna/Anna
martin,Martin/Marin
iui,Iui/Iui
os,bone/eegun
will,will/yoo
date,date/?j?
échapper,escape/sa kuro
droits,rights/aw?n ?t?
montez,go up/l? soke
nouvel,new/tuntun
pensent,think/ronu
génie,genius/oloye
sérieusement,seriously/ni pataki
prépare,prepared/gbaradi
agir,to act/lati ?e
militaire,military/ologun
bal,ball/b??lu
europe,Europe/Yuroopu
californie,California/California
donnez,give/fun
cousin,cousin/?m? ?gb?n obinrin
vert,green/alaw? ewe
poids,weight/iwuwo
volonté,will/yoo
accepte,accepted/gba
recevoir,receive/gba w?le
inquiétez,worry/daamu
célèbre,famous/olokiki
couple,couple/t?k?taya
sexy,sexy/gbese
serons,will be/yio je
certaine,certain/daju
star,star/iraw?
étoiles,stars/iraw?
los,the bone/eegun
resté,rest/isimi
charmant,charming/iwuri
puissant,powerful/lagbara
genoux,knees/kneeskun
mine,mine/temi
pilote,pilot/atuk?
style,style/ara
voulons,want to/f?
amener,to bring/muwa
fortune,fortune/?r?
vieil,old/atij?
arrivés,arrived/de
lève,survey/ifimu
côtés,sides/aw?n ?gb?
chris,Chris/Chris
note,note/akiyesi
préféré,prefer/f?ran
prévenir,prevent/?e idiw?
château,chateau/Lindeau
apparemment,apparently/hihan gedegbe
privé,private/ik?k?
détails,details/aw?n alaye
larry,Larry/Larry
reposer,to rest/lati isinmi
conversation,conversation/itakur?s?
regardes,look/wo
ennemis,enemies/aw?n ?ta
attendent,wait/duro
talent,talent/?bun
aise,easy/r?run
poulet,chicken/adi?
passée,past/ti k?ja
comprend,understand/oye
gorge,throat/?fun
tribunal,court/ile-?j?
découvrir,discover/awari
emmerde,foul/obu
détruit,destroy/pa run run
nerveux,nervous/?aifarabal?
saint,Holy/Mim?
joindre,join/dap?
sentiment,feeling/im?lara
humaine,human/eniyan
acte,deed/iwe if?w?si
pis,worse/buru
enculé,fucked/fa
tuée,killed/pa
pourrez,can/agolo
passera,will pass/yoo k?ja
horreur,horror/?ruj?j?
comptes,accounts/Aw?n iroyin
violence,violence/ipa
fumer,to smoke/lati mu siga
invités,guests/awon alejo
parlais,gauge/oluw?n
job,job/i??
rock,rock/apata
repos,rest/isimi
paquet,pack/atop?
utilise,used/lo
sage,wise/gb?n
aidé,aid/iranw?
intelligent,clever/jafafa
ombre,shadow/iboji
vache,cow/maalu
désert,desert/a?al?
forêt,forest/aginju
extérieur,outside/ita
entré,Between/Laarin
concerne,concerned/fiyesi
dira,will say/yoo s?
it,it/oun
moteur,motor/?k?
ouverte,opened/?í
mince,thin/f?l?f?l?
al,Al/Al
grandi,grown up/ti dagba
dormi,sleep/sun
ordinateur,computer/k?mputa
in,in/ninu
angeles,Angeles/Peati
membres,members/?m? ?gb?
pete,pete/agb?n
surpris,surprised/ya
vole,Fly/Fo
franchement,frankly/s?t?l?
cigarette,cigarette/siga
chemise,shirt/???ti
faisant,doing/n ?e
billet,ticket/Tiketi
reculez,retreat/ipadas?hin
moyens,means/tum? si
importante,important/pataki
unité,unity/is?d?kan
champagne,Champagne/Sahmpeni
pensait,thought/ero
partager,to share/lati pin
smith,smith/yinwa
minuit,midnight/?ganj? oru
américaine,American/Ara ilu Am?rika
courses,races/rin ere
william,William/William
caché,hidden/farapam?
haute,high/giga
sommeil,sleep/sun
riches,rich/?l?r?
maire,mayor/alakoso
mode,fashion/njagun
reviendra,will come back/yoo pada wa
pousse,growth/Idagba
